Unnamed: 0,logpred
14282777,4.722266
17029381,5.1572475
7824740,4.770747
19811650,5.6524425
12410741,4.3967376
19589738,4.68543
15470255,4.626711
6128434,4.579216
18358465,4.800773
8760362,3.8220224
11755946,4.1449323
8327302,4.8245606
13884363,4.359977
6103273,4.746037
18724232,4.4481874
19086978,4.4329906
6834210,4.540965
9013556,4.5272684
11759260,4.6800313
8382187,5.091853
1840445,4.187095
15202859,4.0217996
18361399,4.6628737
17881079,4.2002273
16227150,4.9051633
9770459,5.1280193
4341518,4.4738646
10516580,4.786502
16416474,4.5266705
5085892,4.076863
13697587,4.2080183
12158766,4.2281675
5386312,4.708766
17692345,3.859558
16026765,4.644134
18505615,4.264551
2262885,4.679946
16674812,3.9802241
1628130,4.6869216
15379798,4.550294
20173503,5.242627
21173342,4.2134495
10019796,4.307813
13116069,4.6631293
16245464,4.4596024
2298801,4.826551
884803,4.571044
16480090,4.122926
9855805,4.2056527
11407704,4.09076
15572980,4.3149595
8457785,4.7773657
4115403,5.7229233
10138784,4.623048
16592678,4.277845
7194843,4.8269677
20754111,4.7403846
19808904,4.699467
16240085,4.2273855
16390897,4.6467967
15217021,5.2471137
2899177,4.3534336
823880,6.451098
17960485,4.7243996
37197,4.9994903
17843177,4.625912
20872950,4.8896537
12028495,4.719777
14824136,4.80006
5084563,4.5325174
9168809,4.279963
16490010,4.791139
752084,4.548816
1391683,3.9793928
13862932,4.415231
18969917,4.4907546
2536255,4.072101
7401453,3.7208087
8048838,4.4601235
17094930,4.9998074
1213652,4.803516
18650533,5.073615
18428776,4.1515164
3497750,4.653503
12784763,4.5441723
10166945,4.907763
17024368,4.777841
10550345,4.043025
12135309,4.820046
17845579,3.8698404
17887871,4.4884596
20310828,4.897335
16367772,5.0452437
14007277,4.97833
10187948,5.025268
1979502,5.3908668
4025466,4.416578
7010681,4.1492877
2210088,4.779144
16487475,4.2002015
7132520,4.636032
6329731,4.227446
16633430,4.6442637
1586489,4.147103
14556587,5.9063706
20332537,5.353046
19504228,4.0882235
7124926,4.098879
724656,4.759235
17857598,5.151604
7198878,4.0417666
1954429,4.1687474
17552926,4.553569
18947464,5.048485
555596,4.0069604
8687518,4.051472
2754975,4.1835375
15591048,4.708426
68403,4.604657
16123133,4.0075917
16545677,5.287786
9909328,5.2682285
9372609,4.9919367
15507297,4.09291
3104839,5.362512
5628808,4.6686187
10043483,4.193335
13882820,4.5352335
5804060,4.6838293
13880330,4.7621155
16515346,4.859921
9734018,4.1329174
13343870,3.7381308
10102418,4.6320353
20903084,4.85799
17642625,5.5691404
12547180,4.09296
15509545,4.2771044
253466,3.7664866
13223336,4.224848
17152842,4.7605557
8411226,4.439733
16234017,4.874225
2627940,4.8561015
13669161,4.650102
20933293,4.092444
7930895,4.0680285
16812656,4.2930245
13031184,4.7635355
476919,5.0366054
20729133,4.2648253
15755492,4.2769265
16707888,4.1746383
3466620,5.4867907
17498442,5.1752443
12364198,4.3272033
15942888,4.5164866
20969932,4.491574
11363122,4.3018045
18667247,4.49411
10672015,4.799216
12008897,4.1880903
10230060,4.9614677
12630408,5.0321536
14186084,4.158816
16160310,3.8478467
3454343,3.8733718
6135485,4.828514
12544280,4.0826397
13276066,4.985567
2503128,4.4719663
3717427,5.4297094
16441864,4.6967983
10058134,4.58831
13346431,4.144094
15740950,5.348985
13080618,4.4942417
17865806,4.298825
19777573,5.310124
11064084,4.699903
8850423,4.9047794
7472068,5.1360083
10779412,4.8336096
331450,4.701326
9347680,4.826786
12955368,4.7828994
12231352,4.5419526
16004577,4.5041385
7311059,3.985411
4663928,4.1701174
376559,4.915896
13591611,4.826096
1656621,4.2588124
18314314,4.7661
9791362,5.0177617
61153,4.062164
3868503,5.3006535
19192001,5.1964545
15990034,4.7791815
18637173,4.537528
18331809,5.194801
18296371,4.783325
14038936,3.9309316
16870359,4.679421
271130,4.7509723
14169399,4.123396
9734844,3.962714
12875096,5.140708
12803399,4.2479196
15871074,4.7778177
3953322,4.025335
12230297,4.109221
13860706,4.5908227
5360210,6.1594663
12973167,5.3295536
15057743,4.0795765
17750227,6.27497
3544343,4.64916
11434047,4.2888026
8649889,4.5615306
1907186,4.170939
10156269,4.5700216
248865,5.427676
7274441,4.9812536
16122843,5.327124
16002608,4.063499
5364134,4.843875
2979052,4.17271
14066228,4.061716
20581837,4.518074
20395728,4.5429907
12569486,3.9951491
7518816,4.754166
4137789,4.510728
9633282,4.570512
56859,5.920995
16098984,6.2662106
6259989,5.2233043
7939407,3.9179826
7517579,4.1304054
18730787,4.881948
13615838,4.470022
6504030,3.9524548
2176963,4.086734
6107258,4.663044
3318417,4.573896
6222260,5.481051
17479706,4.8235908
19334291,4.081265
4296362,4.534663
8627179,4.6164217
12454870,4.9574337
16042019,5.042102
14189240,4.0750833
2488022,5.8952675
18369887,4.5111513
17774890,4.1046166
16082400,3.834691
7020322,4.740226
14774411,4.758211
3852970,4.98766
15870268,4.0291147
6043296,5.1528077
14221607,4.132174
17073983,5.1491623
17991551,4.3522263
15343720,3.713879
2598841,4.10516
10783121,4.839286
5496554,4.460101
13379739,5.087646
1944155,4.561302
13564007,4.4598613
20817835,4.038501
9473440,4.127056
16359470,4.634815
11150475,6.101229
13094264,4.4182158
1822183,5.4496117
12518189,4.3379564
12455369,4.68104
15468914,4.5520997
12905131,4.7563066
181972,4.601356
20146269,4.2695427
17846157,3.4340842
12270642,5.411181
13514141,4.734539
16618112,5.001348
7382491,4.6876006
14696763,4.6139293
1090297,4.866233
9473816,5.855723
17515103,4.6253023
15370440,4.2393327
10524082,4.6382084
7182122,4.09027
2070705,5.1039653
18763188,4.8927107
12433198,4.583338
20353100,4.3205853
13897860,4.5877466
13209493,4.507633
16837677,4.9135695
6725556,4.584528
10090585,4.0694904
14983123,4.9121027
1940006,4.5212164
7886331,4.774947
20310503,5.403891
18294493,4.6593804
720811,4.300795
818189,3.7509742
16914048,4.95343
755528,5.149573
11656396,4.766911
7112125,4.1190867
2975776,4.500155
386846,3.8144586
17217670,5.4803166
4191637,5.649123
14217775,4.2636466
18760486,4.772496
6732313,4.201618
16382270,4.829966
11582472,4.0320377
17893451,4.649091
8254893,4.84824
19832188,5.2954383
634133,5.390457
640589,4.040502
