log_price,property_type,room_type,amenities,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,host_has_profile_pic,host_identity_verified,host_response_rate,instant_bookable,latitude,longitude,number_of_reviews,review_scores_rating,bedrooms,beds
4.31748811353631,0.0,0,15,3,1.0,0,0,0,0,0,0,-1,0,33.78271154765596,-118.13441022492472,0,-1.0,0.0,2.0
4.007333185232471,0.0,0,25,4,2.0,0,1,0,1,0,1,100,0,40.70546838788719,-73.90943907113144,38,86.0,1.0,2.0
7.090076835776093,1.0,1,20,6,2.0,0,0,0,2,0,0,-1,0,38.91753650840245,-77.03165110492635,0,-1.0,2.0,2.0
3.555348061489413,0.0,0,30,1,1.0,0,0,1,1,0,1,100,1,40.736001493665405,-73.92424760162338,19,96.0,1.0,1.0
5.48063892334199,0.0,1,24,4,1.0,0,2,1,3,0,1,100,1,37.74489588289044,-122.4306650075254,15,96.0,2.0,2.0
6.214608098422191,1.0,0,11,2,1.0,0,2,1,1,0,1,-1,1,40.738579574265046,-74.0087517498732,0,-1.0,1.0,1.0
4.4998096703302615,2.0,0,29,2,1.0,0,1,1,1,1,0,-1,0,40.80662937264047,-73.94991086679423,63,98.0,1.0,1.0
4.394449154672439,3.0,1,32,3,1.0,1,2,0,1,0,1,100,1,40.75249503889759,-73.81125637682926,213,93.0,0.0,2.0
4.02535169073515,1.0,0,11,3,1.0,0,2,1,0,0,1,100,0,34.05000071742908,-118.42146903533956,0,-1.0,1.0,1.0
5.521460917862246,1.0,1,18,4,1.0,0,2,1,1,0,1,80,1,40.783344481996096,-73.97577539157197,77,96.0,2.0,3.0
6.324358962381313,0.0,1,40,10,3.5,0,1,1,2,0,0,100,1,38.985535414656326,-77.02977426794116,1,100.0,5.0,8.0
4.3694478524670215,1.0,1,16,2,1.0,0,1,1,0,0,0,100,1,34.03838757738468,-118.4706881980882,0,-1.0,1.0,1.0
4.867534450455582,1.0,0,24,2,1.0,0,1,1,3,0,1,100,1,37.76094673871102,-122.42098332489212,52,99.0,1.0,1.0
5.298317366548036,4.0,0,15,1,1.0,0,0,0,1,0,1,-1,1,40.748398289016855,-73.97298376745081,0,-1.0,1.0,1.0
4.290459441148391,1.0,0,22,2,1.0,0,1,1,4,0,1,80,1,41.94228228634652,-87.65257253014158,9,87.0,1.0,1.0
4.553876891600541,1.0,0,11,2,1.0,0,0,1,5,0,0,-1,1,42.348468931543714,-71.06020839932364,2,80.0,1.0,1.0
4.31748811353631,0.0,0,16,2,1.0,1,0,1,0,0,1,100,1,34.07436492271551,-118.25619450180892,66,95.0,1.0,1.0
4.23410650459726,1.0,0,28,2,1.0,0,2,1,1,0,1,86,1,40.82378341602836,-73.9545126143915,16,91.0,1.0,2.0
5.521460917862246,0.0,1,15,10,2.0,0,1,1,0,0,0,100,1,34.01966923691612,-118.43605729307392,5,80.0,3.0,3.0
5.988961416889862,4.0,1,24,4,2.0,0,2,1,0,0,1,90,1,34.00482662719524,-118.48977313785394,7,97.0,2.0,2.0
5.5174528964647065,1.0,1,16,6,1.0,0,0,1,1,0,0,-1,1,40.71923917014743,-73.9971917601853,0,-1.0,2.0,2.0
5.991464547107983,4.0,1,22,6,2.0,0,2,1,0,0,0,100,0,33.978518086628625,-118.41970505128091,0,-1.0,2.0,2.0
4.07753744390572,0.0,0,22,2,1.0,0,2,1,0,0,1,100,1,34.175090125773174,-118.51246187284748,29,99.0,1.0,1.0
4.3694478524670215,1.0,0,22,2,1.0,0,2,1,1,0,1,100,1,40.744234036246745,-73.97741657008278,23,91.0,1.0,1.0
4.74493212836325,1.0,1,11,2,1.0,0,0,1,1,0,1,-1,1,40.71382776376071,-73.95272546200293,2,100.0,1.0,1.0
4.74493212836325,1.0,1,12,2,1.0,0,2,1,0,0,0,-1,0,34.09463075119764,-118.36267730243708,0,-1.0,1.0,1.0
4.90527477843843,1.0,1,27,2,1.0,0,2,1,1,0,1,89,1,40.6832784899203,-73.99820729402397,9,98.0,1.0,1.0
5.598421958998375,5.0,1,30,4,1.0,0,1,1,3,0,0,100,1,37.78824209530893,-122.41180115041772,1,100.0,1.0,2.0
4.442651256490317,1.0,1,11,3,1.0,0,2,1,1,0,0,40,1,40.68835433750996,-73.94092138119458,10,100.0,1.0,1.0
3.912023005428147,1.0,2,10,1,1.0,0,0,1,0,0,1,100,0,34.17810498010805,-118.38721406894165,0,-1.0,1.0,1.0
4.7791234931115305,1.0,1,24,4,2.0,0,1,1,4,0,1,100,1,41.911465120597626,-87.66968250115956,120,96.0,2.0,2.0
4.174387269895637,1.0,0,15,1,1.0,0,1,1,1,0,1,100,1,40.71327239385582,-73.96437696597037,7,90.0,1.0,1.0
5.123963979403259,1.0,1,12,4,1.0,0,0,0,1,0,0,100,0,40.7663761865796,-73.9907869227037,0,-1.0,2.0,2.0
4.174387269895637,1.0,0,7,1,1.0,0,2,1,1,0,0,100,1,40.76214919704108,-73.95879448707535,1,-1.0,1.0,1.0
5.521460917862246,1.0,1,20,4,1.5,0,2,1,4,0,1,100,1,41.904736310954014,-87.6645343222712,5,96.0,2.0,2.0
6.551080335043403,0.0,1,15,10,3.0,0,2,1,0,0,1,81,1,34.13923296151074,-118.15965976999844,3,93.0,8.0,10.0
4.934473933130692,1.0,1,23,2,1.0,0,1,1,2,0,0,100,1,38.91153975229425,-77.02345525852142,29,99.0,1.0,1.0
4.4998096703302615,1.0,0,12,2,1.0,0,2,0,1,0,1,-1,1,40.727837185921466,-73.94937389193045,1,100.0,1.0,1.0
3.912023005428147,0.0,0,11,1,1.0,0,0,0,1,0,0,100,0,40.76518207484117,-73.89181565283171,0,-1.0,1.0,1.0
4.59511985013459,1.0,0,16,2,1.5,0,0,1,1,0,0,100,0,40.714498059617576,-73.91050563935295,1,100.0,1.0,2.0
4.382026634673881,1.0,0,9,2,1.0,0,1,0,1,0,1,100,1,40.69488798574623,-73.96496442726678,13,100.0,1.0,1.0
5.010635294096256,1.0,1,11,6,2.5,0,1,1,1,0,0,100,1,40.67947915384583,-73.90822358259864,28,97.0,3.0,3.0
5.220355825078324,1.0,1,20,3,1.0,0,1,1,1,0,0,100,0,40.77679407410081,-73.94521156293997,5,96.0,1.0,1.0
4.700480365792417,1.0,1,12,4,1.0,0,2,1,1,0,0,100,1,40.63366041037924,-74.07687137127054,20,99.0,1.0,2.0
5.4380793089231965,1.0,1,23,2,2.0,0,0,0,1,0,0,80,1,40.71745710548387,-73.95696339341454,2,100.0,1.0,1.0
4.174387269895637,0.0,0,27,2,1.0,0,2,0,0,0,1,100,1,33.86446623630723,-118.35341179197644,45,97.0,1.0,1.0
